tmdbId,title,combined_features
862,Toy Story (1995),toy rivalry cowboy cgi animation tomhanks timallen donrickles johnlasseter adventure animation children comedy fantasy
8844,Jumanji (1995),board game adventurer fight game robinwilliams jonathanhyde kirstendunst jonathanhensleigh adventure children fantasy
15602,Grumpier Old Men (1995),boat lake neighbor rivalry waltermatthau jacklemmon sophialoren markstevenjohnson comedy romance
31357,Waiting to Exhale (1995),black american husband wife relationship betrayal mother son relationship whitneyhouston angelabassett lorettadevine terrymcmillan comedy drama romance
11862,Father of the Bride Part II (1995),fatherhood doberman dog mansion stevemartin dianekeaton martinshort alberthackett comedy
949,Heat (1995),gun battle organized crime honor criminal investigation alpacino robertdeniro valkilmer michaelmann action crime thriller
11860,Sabrina (1995),character name as title chauffeur estate playboy harrisonford juliaormond gregkinnear samuela.taylor comedy romance
45325,Tom and Huck (1995),rescue from drowning near drowning character names as title forenames as title jonathantaylorthomas bradrenfro ericschweig marktwain adventure children
9091,Sudden Death (1995),hockey death in title two word title terrorist jean-claudevandamme powersboothe raymondj.barry karenelisebaldwin action
710,GoldenEye (1995),official james bond series james bond character 007 chemical weapons piercebrosnan seanbean izabellascorupco ianfleming action adventure thriller
9087,"American President, The (1995)",reference to franklin d. roosevelt reference to martin van buren president speechwriter michaeldouglas annettebening martinsheen aaronsorkin comedy drama romance
12110,Dracula: Dead and Loving It (1995),dracula vampire 19th century insane asylum leslienielsen petermacnicol stevenweber melbrooks comedy horror
21032,Balto (1995),dog nome alaska alaska children kevinbacon bobhoskins bridgetfonda cliffruby adventure animation children
10858,Nixon (1995),american president american politics paranoia u.s. president anthonyhopkins joanallen powersboothe oliverstone drama
1408,Cutthroat Island (1995),treasure pirate treasure map pirate ship geenadavis matthewmodine franklangella michaelfrostbeckner action adventure romance
524,Casino (1995),crime epic casino gambling gangster robertdeniro sharonstone joepesci nicholaspileggi crime drama
4584,Sense and Sensibility (1995),england 19th century based on novel black hair jamesfleet tomwilkinson harrietwalter janeausten drama romance
5,Four Rooms (1995),woman gagged woman tied to a chair weapon sammidavis amandadecadenet valeriagolino alexandrerockwell comedy
9273,Ace Ventura: When Nature Calls (1995),male objectification kidnapping caught masturbating fictional country jimcarrey ianmcneice simoncallow jackbernstein comedy
11517,Money Train (1995),train subway loan shark new year's eve wesleysnipes woodyharrelson jenniferlopez dougrichardson action comedy crime drama thriller
8012,Get Shorty (1995),movie business loan shark debt mobster johntravolta genehackman renerusso elmoreleonard comedy crime thriller
1710,Copycat (1995),serial killer psychopath dead body in a bathtub detective sigourneyweaver hollyhunter dermotmulroney annbiderman crime drama horror mystery thriller
9691,Assassins (1995),assassin rival assassination computer hacker sylvesterstallone antoniobanderas juliannemoore lillywachowski action crime thriller
12665,Powder (1995),albino electricity loneliness bully marysteenburgen seanpatrickflanery lancehenriksen victorsalva drama sci-fi
